Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],549.68,4.19,548.36,545.97,552.61
clip[usec],1611.67,543.38,1544.0,956.2,2296.6
msec,0.52,0.3,0.52,0.1,0.9
low_i,106.21,61.1,95.0,33.0,187.0
high_i,214.59,76.08,204.0,126.2,323.8
energy[%],98.8,0.97,99.04,97.45,99.64
SNR[dB],23.85,3.84,23.44,19.1,29.52
Fp[kHz],125.06,6.05,123.6,120.4,136.0
Fc[kHz],124.33,3.03,124.61,122.3,127.57
RMS[kHz],12.39,5.81,12.01,4.97,22.03
Qrms,12.8,6.88,10.37,5.83,24.08
Fs[kHz],512.0,0.0,512.0,512.0,512.0
slope_max_wvd,0.01,0.05,-0.0,-0.03,0.1
